"Event","Frequency"
"J. Russo out at [base] [position] to [position], caught stealing","1"
"**catcher indifferent","1"
"LUKE, Bryce tripled to [fieldLocation] (count)","1"
"de Wattevill flied out to [position]","1"
"13, 6 strikes","1"
"Called out for not touching [base] base. Hit does not count. Runs scores","1"
"Leatherwood reached on an error by [position], advanced to [base] on the throw, advanced to [base]","1"
"Game resumed at 6:05 pm","1"
"D. Morrow walked (count)","1"
"JOHNSON,Came advanced to [base] on a wild pitch","3"
"Lepchitz doubled","1"
"EDWARDS,Chri to [position] for ADAMS,Derric","4"
"A. Dowdy intentionally walked (count)","1"
"L. O'Neal flied out to [position] (count)","1"
"Libuano, R. singled through the right side (count)","2"
"Berthiaume walked (count)","6"
"RODGERS singled to [fieldLocation] (count)","1"
"Mayeda grounded out to [position], SAC, bunt","1"
"H. Babineaux struck out swinging, bunt (count)","1"
"M Sheldon walked (count)","1"
"BROUGHTON hit into double play [position] to [position]","1"
"Shockley singled to [fieldLocation] (count)","1"
"Schraer hit into double play [position] to [position] to [position]","1"
"Nice pursuit of slow hopper at cut of infield grass","1"
"Game stopped at 3:50 p.m. for another lightning delay","1"
"N. Sykes to [position] for M. Hudvagner","1"
"Darr walked","1"
"Soft liner just over SS O'Brien's glove","1"
"M. Cadman doubled to [fieldLocation], advanced to [base] on a throwing error by [position], RBI (count)","1"
"Cuch popped up to [position]","1"
"Play resumed at 9:31 p.m. CT","1"
"Robinson singled to [fieldLocation] (count)","1"
"StankiewiczD grounded out to [position] (count)","8"
"JONES fouled out to [position]","1"
"LoCascio struck out swinging","2"
"R. MacCarric scored","1"
"LUKE, Bryce grounded out to [position], RBI","1"
"Z Vela fouled out to [position] (count)","2"
"LOPEZ,Bradly out at [base] [position] to [position], caught stealing","1"
"R. MacCarric struck out swinging","1"
"Flock grounded out to [position] (count)","2"
"Dewaine struck out looking","1"
"WRIGHT to [position] for NICHOLS","1"
"Rios,R advanced to [base] on the throw","1"
"LoCascio struck out looking","1"
"D. Pittman scored, unearned","1"
"Montano tripled to [fieldLocation], 2 RBI (count)","1"
"Souza-Paaluh scored, unearned","1"
"/ for BREWSTER,Aus","3"
"1B to 3B to C, C drops ball, runner slides under tag, runners to 2B and 3B","1"
"W. Hudson grounded out to [position]","2"
"Chamberlin, Jace advanced to [base] on a wild pitch","1"
"CORDOVA-SMITH,Peyton singled to [fieldLocation], 2 RBI","2"
"Stewart struck out looking","3"
"Sutera to [position] for Proudlove","1"
"MacKENZIE, Jake scored, unearned","1"
"HAMMERS,Matt pinch hit for ANDERSON,Tan","1"
"SCANLON singled through the left side (count)","1"
"Daniels advanced to [base] on a wild pitch","1"
"J. Harmon doubled to [fieldLocation]","1"
"Cleveland to [position] for Black","1"
"HELTON advanced to [base]","1"
"Batter interference called, runner out on play","1"
"McGuire to [position] for Barrera","1"
"McLain flied out to [position]","1"
"SCANLON flied out to [position] (count)","3"
"Mihalski grounded out to [position] (count)","1"
"Closner, O hit by pitch (count)","7"
"Dorris reached on an error by [position]","1"
"Walwyn out at [base] [position] to [position], caught stealing","1"
"Klocek, J. pinch hit for Bray, J.","1"
"A. Pulcher lined out to [position] (count)","1"
"Kehrer reached on a fielder's choice, bunt","1"
"H. Babineaux walked (count)","1"
"Gannon advanced to [base] on a passed ball","1"
"COSS struck out looking (count)","1"
"Batter called out for contact outside batter's box","1"
"COCCIADIFERRO, Matt reached [base] on an error by [position], RBI, advanced to [base]","1"
"Crose singled up the middle, 2 RBI","1"
"Game delayed due to weather for 34 min after top of 3rd","1"
"Soto grounded out to [position] (count)","1"
"HAMMERS,Matt flied out to [position]","2"
"Bench warning","1"
"**runner hit by batted ball**","1"
"B. Watson out at [base] [position] to [position], SAC, bunt","1"
"Thomas singled through the left side (count)","1"
"MacKENZIE, Jake flied out to [position]","2"
"J. Kochmansk walked","1"
"HAMMERS,Matt to [position]","6"
"K-State [fieldLocation] coach ejected for arguing","1"
"LUKE, Bryce scored","7"
"Game resumed at 10 a.m. May 19. Rain delay from 10:50 to 11:50 a.m","1"
"Game delayed due to lightning at 12:46","1"
"TARANTINO,Matthew reached [base] on a fielding error by [position]","1"
"BROOKS,Willi pinch hit for JOHNSON,Came","1"
"Meisenheimer advanced to [base]","3"
"Quito struck out swinging","1"
"Brady Harris singled through the left side","1"
"Rodriguez walked","1"
"Bakst,Dan fouled out to [position] (count)","2"
"WISNIEWSKI to [position] for ARTHUR","1"
"DelSignore grounded out to [position] (count)","1"
"C. Landess to [position] for R. Skvarce","1"
"Previous play at plate under official review. Call confirmed","1"
"Budde hit into double play [position] to [position] to [position]","1"
"Grupa, N. singled to [fieldLocation] (count)","1"
"CUSATI singled through the right side","1"
"*Offensive Interference","1"
"BLANC,Eric advanced to [base] on a wild pitch","1"
"Chamberlin doubled to [fieldLocation], RBI (count)","1"
"Bandor,M scored","2"
"Budde flied out to [position]","1"
"Edwards reached on a fielder's choice","1"
"A. Torres grounded out to [position] (count)","2"
"Schoonover singled through the right side (count)","1"
"JACKSON,Jayl scored","1"
"B. Sandora grounded out to [position] (count)","1"
"Garnder, A. advanced to [base] on a passed ball","2"
"C Almendarez struck out swinging (count)","3"
"Kunc struck out looking (count)","1"
"BREWSTER,Aus to [position] for HATHCOCK,Dyl","1"
"BC challenged HBP on Alu. Challenge was upheld","1"
"J. Riffle out at [base] [position] to [position], caught stealing","1"
"Merle walked","1"
"Injury Substitution for Pitcher","1"
"L. Mims, Jr. reached on a fielder's choice","1"
"C. Rodriguez stole [base]","1"
"Logan, W. grounded out to [position] (count)","1"
"BUSICK, T grounded out to [position] (count)","1"
"LUKE, Bryce struck out looking (count)","1"
"MacCARRICK, Ryan popped up to [position]","1"
"Coleman out at [base] [position] to [position]","1"
"29, 21 strikes","1"
"J. Russo flied out to [position] (count)","2"
"Xavier Floy struck out swinging","1"
"MARTIN,Dexte to [position]","1"
"BERTHIAUME popped up to [position] (count)","1"
"GADDIS,Nic doubled down the [fieldLocation] (count)","1"
"T. Cleasby walked","1"
"J. Brown reached on a throwing error by [position], advanced to [base], RBI","1"
"Kunc struck out swinging (count)","1"
"Hofer to [position] for Boria","1"
"DelSignore struck out swinging (count)","3"
"Grisanti struck out looking (count)","9"
"I. Rush out at [base] [position] to [position]","1"
"Michalak, P. grounded out to [position] unassisted, RBI (count)","1"
"Berthiaume lined out to [position] (count)","1"
"Bilinger singled to [fieldLocation] (count)","3"
"Played stopped due to rain at 12:44 p.m","1"
"Klos struck out swinging (count)","1"
"McClain,G tripled down the [fieldLocation], RBI (count)","1"
"Berthiaume struck out looking","1"
"HAMMERS,Matt struck out looking (count)","4"
"Rain delay beginning at 8:18 p.m","1"
"Chamberlin, Jace grounded out to [position]","11"
"Benavidez,R walked (count)","2"
"A. King grounded out to [position]","1"
"Georgia assistant coach thrown out of game","1"
"JOHNSON,Came to [position]","1"
"Tamez scored","1"
"BLANKENBERGE singled to [fieldLocation], RBI (count)","1"
"Valpo coach visits mound. Pitches","1"
"Harrison advanced to [base]","3"
"GADDIS,Nic scored, unearned","1"
"Jarvis Warne singled to [fieldLocation], bunt (count)","1"
"Mason Miller struck out looking","1"
"52, 36 strikes","1"
"Kline, B. grounded out to [position]","1"
"Iowa HC Heller thrown out during Stott's AB in B6, 3-0 count","1"
"Ke. Sullivan popped up to [position]","1"
"Nelson reached on a fielding error by [position]","1"
"Rinke struck out swinging (count)","1"
"Mason Miller grounded out to [position]","2"
"Triplett scored","1"
"Cameron Love struck out swinging","1"
"de Wattevill stole [base]","2"
"Siegler struck out swinging","1"
"COCCIADIFERRO, Matt out at [base] [position] to [position]","1"
"[number] ASU ejected Top 8th inning with one out","1"
"A. Gaytan grounded out to [position]","1"
"Nelson fouled out to [position]","1"
"Giss walked (count)","1"
"Grupa, N. struck out swinging (count)","2"
"Jarvis Warne singled up the middle (count)","1"
"Robinson out at [base] [position] to [position]","1"
"T. Gutirrez popped up to [position] (count)","1"
"Wooten flied out to [position]","1"
"FARMER,Garre scored","1"
"Berthiaume doubled to [fieldLocation], RBI (count)","1"
"W. Hudson struck out swinging (count)","1"
"Sandeen to [position]","1"
"Fonseca doubled to [fieldLocation], out at [base] [position] to [position] (count)","1"
"Noah Hoth hit by pitch (count)","1"
"LOPEZ,Bradly out at [base] [position] to [position]","2"
"Game resumes at 2:01 p.m., Saturday","1"
"Brady Widema struck out swinging","2"
"ANDERSON,Tan out on the play","1"
"Weston struck out swinging","1"
"J. Martinez singled to [fieldLocation] (count)","1"
"Popy fly caught on outfield grass","1"
"HENN, S grounded out to [position] (count)","1"
"Rodgers, R. flied out to [position] (count)","2"
"MITCHELL,Mal hit by pitch","1"
"Culbertson struck out swinging","1"
"Danielson advanced to [base]","2"
"Mitchell,D singled, bunt, advanced to [base] on a throwing error by [position] (count)","1"
"J. Russo reached on a fielding error by [position] (count)","1"
"Comebacker deflected to SS. Infield hit","1"
"Tanner Gaff singled to [fieldLocation]","1"
"Padilla singled","1"
"SCANLON scored","1"
"N.Maciejeski struck out looking (count)","1"
"Grable, J. stole [base]","1"
"Renoud singled to [fieldLocation]","1"
"Daane struck out swinging (count)","1"
"R. Ranie grounded out to [position] (count)","7"
"Faron grounded out to [position] (count)","1"
"Nelson walked","1"
"E. Shelvin reached on catcher's interference (count)","1"
"Chamberlin, Jace walked, RBI","1"
"Biagini,D singled through the left side (count)","1"
"MITCHELL,Mal walked","1"
"McIlwain,N. singled up the middle (count)","1"
"Constantine grounded out to [position] (count)","1"
"Eshleman scored","1"
"Kehrer struck out looking","1"
"Trost to [position] for Lemus","1"
"Houston struck out looking","1"
"Cluxton scored, unearned","1"
"Cruz scored","1"
"A. Guillen singled to [fieldLocation] (count)","1"
"JOHNSON,Came hit by pitch","3"
"Ball chopped high over the pitcher for the single","1"
"Alexander singled through the left side (count)","1"
"LANFERMAN struck out swinging","2"
"Wilson grounded out to [position] (count)","2"
"VERLIN,Nate was intentionally walked","1"
"Flyout deep to the wall in left","1"
"WILBURN,Tyle to [position] for FARMER,Garre","3"
"J. Kochmansk doubled to [fieldLocation], RBI","1"
"GARCIA","1"
"Chamberlin struck out looking (count)","3"
"T. Childs flied out to [position]","1"
"Biagini,D out on the play","2"
"Botti,M to [position]","1"
"DelSignore advanced to [base] on a wild pitch","1"
"B. Scott walked","1"
"Garrett, B. doubled down the [fieldLocation] (count)","1"
"BLANKENBERGE struck out swinging","5"
"M. Volmer grounded out to [position], SAC, bunt","1"
"Bennett,B hit by pitch (count)","1"
"A. Gaytan grounded out to [position] (count)","1"
"MARSHALL struck out swinging","1"
"ANDERSON,Tan walked (count)","5"
"Draffen popped up to [position]","1"
"Anderson, C. walked (count)","1"
"Haston doubled to [fieldLocation] (count)","1"
"Mound Visit","2"
"MITCHELL,Mal doubled down the [position] line","1"
"MITCHELL,Mal singled to [fieldLocation]","1"
"Merchant, Z. advanced to [base]","2"
"Abraham struck out looking","1"
"JOHNSON,Came hit by pitch (count)","1"
"rolled into RF","1"
"C. Matthews singled to [fieldLocation] (count)","1"
"C Tamez singled to [fieldLocation] (count)","1"
"Harper singled through the left side (count)","1"
"Diving play in the OF by Cocciadiferro","1"
"BLANKENBERGE struck out looking (count)","5"
"Broadwater out on the play","1"
"Keith to [position] for Shell","1"
"Defensive Indifference","1"
"LOPEZ,Bradly singled to [fieldLocation] (count)","2"
"D.Maciejeski struck out looking (count)","1"
"Game restarted at 8:49 pm. Official delay was 1 hour, 14 minutes","1"
"Louisiana Assistant Coach ejected after arguing the play at First","1"
"Berthiaume grounded out to [position], bunt (count)","1"
"JACKSON,Jayl grounded out to [position]","1"
"J. Russo struck out swinging (count)","1"
"Stetson coach Steve Trimper ejected after umpires changed call","1"
"Burnett fouled out to [position]","1"
"C Tamez popped up to [position] (count)","1"
"McDaniel advanced to [base], out at home [position] to [position]","1"
"Quiram struck out looking (count)","1"
"StankiewiczD struck out swinging (count)","3"
"**Game resumed at 9:45 p.m. - Delay lasted 1:54**","1"
"L. Barker advanced to [base]","2"
"Zak Ebarb singled down the [position] line (count)","1"
"W. Mullins to [position] for Silverstein","1"
"Taulbee, M. struck out swinging (count)","2"
"First Pitch: 3:04","1"
"N Maciejeski struck out looking (count)","2"
"Meisenheimer struck out looking (count)","1"
"R. Ranie popped up to [position] (count)","2"
"Tow hit by pitch (count)","1"
"CASWELL to [position] for VANDEN BRINK","1"
"JOHNSON,Came doubled to [fieldLocation], RBI (count)","1"
"StankiewiczD grounded out to [position] unassisted (count)","1"
"Quinlan,Maso grounded into double play [position] to [position] to [position]","1"
"SCANLON singled to [fieldLocation] (count)","1"
"J Fonseca flied out to [position] (count)","1"
"MITCHELL,Mal grounded out to [position], RBI","1"
"Game delayed by rain for 52 minutes","1"
"B. Dewaine grounded out to [position], RBI (count)","1"
"Out call at home plate reviewed, ruling upheld","1"
"Hickey advanced to [base]","1"
"LARUE,Will singled to [fieldLocation]","1"
"hustle double, [position] took his time getting ball to cutoff man","1"
"Fryou, B. out on the play","1"
"Mercer,J singled to [fieldLocation] (count)","1"
"SNIATYSKI homered to [fieldLocation], 2 RBI (count)","1"
"T. Thomas singled to [fieldLocation], advanced to [base] on the throw, RBI (count)","1"
"LUKE, Bryce grounded out to [position] unassisted","3"
"MONTENEGR0 struck out looking (count)","1"
"Vela scored","1"
"Olden,R lined into double play [position] to [position] (count)","1"
"Vela flied out to [position] (count)","1"
"Line drive one-hopped into the corner of RF wall","1"
"Johnathan Mc advanced to [base] on a wild pitch","2"
"C. Collazo reached on a fielder's choice (count)","1"
"SNIATYSKI stole [base]","2"
"Tyler Prince flied out to [position]","1"
"LUKE, Bryce singled to [fieldLocation] (count)","3"
"Cox walked","1"
"T. Goliday grounded out to [position] (count)","1"
"B. Scott grounded out to [position]","1"
"Posviak, B. doubled down the [position] line","1"
"29, 15 strikes","1"
"Pattin, B. flied out to [position] (count)","1"
"Klohen, A. hit by pitch","2"
"Lorey advanced to [base]","2"
"Buddy Dewaine advanced to [base]","1"
"HELTON struck out swinging","1"
"Perez grounded out to [position] (count)","1"
"COCCIADIFERRO, Matt to [position]","1"
"Enochs flied out to [position] (count)","1"
"J. Soto scored, unearned","2"
"Chamberlin grounded out to [position] (count)","4"
"Strzelczyk singled to [fieldLocation]","1"
"Colon out at [base] [position] to [position]","1"
"Burnett advanced to [base]","5"
"Stockley flied out to [position]","1"
"D. Fleming advanced to [base]","3"
"Berthiaume walked, RBI","1"
"D. Grisell to [position] for W. Mullins","1"
"Shockley advanced to [base]","4"
"DelSignore grounded into double play [position] to [position] to [position] (count)","1"
"Grisanti lined out to [position] (count)","1"
"Weather delay at 6:06 p.m","1"
"Donnelly to [position] for DellaMedagli","3"
"J. Dingess to [position]","1"
"Jarvis Warne reached on a fielding error by [position], SAC, bunt","1"
"Fernando Smi singled","1"
"Bruce singled to [fieldLocation], 2 RBI","1"
"**great throw by [position],threw from edge of outfield","1"
"C. Charman to [position]","1"
"StankiewiczD grounded out to [position]","1"
"Ball started out of play and bounced in between everyone for a double","1"
"MCCAULEY,Dan struck out swinging, out at [base] [position] to [position]","1"
"B. Watson flied out to [position]","1"
"ANDERSON,Tan flied out to [position] (count)","2"
"Klos struck out looking (count)","1"
"Gaytan grounded out to [position] (count)","1"
"Ball deflected off Batesole's glove in the hole","1"
"C. Henderson struck out swinging (count)","2"
"BROOKS,Willi singled up the middle (count)","1"
"ANDERSON,Tan singled to [fieldLocation], RBI (count)","1"
"LARUE,Will advanced to [base]","1"
"Game halted at 7 p.m","1"
"N. Fletcher out at [base] [position] to [position] (count)","1"
"leaping catch at [position] wall, collides w/ wall on jump and loses lid","1"
"Batson flied out to [position] to [fieldLocation]","1"
"HANSEL, D hit by pitch (count)","1"
"K. Ashford-J pinch hit","2"
"Nelson singled through the left side, RBI","1"
"S. Thomas singled up the middle, RBI","1"
"Johnson,D to [position] for Dossen,B","1"
"Starks, J. struck out swinging","1"
"B. Watson advanced to [base] on an error by [position]","2"
"Dewaine out on the play","1"
"Wilburn grounded out to [position] (count)","1"
"/ for Whitney","1"
"GADDIS,Nic doubled, RBI","2"
"Embray struck out looking (count)","1"
"MCCOMB struck out swinging","2"
"Played halted in top five due to rain","1"
"Reich, A. struck out looking (count)","1"
"Whitlock, A. struck out swinging (count)","1"
"R. Calvin grounded out to [position]","2"
"Berthiaume scored","5"
"C. Henderson out at [base] [position] to [position]","1"
"LUKE, Bryce singled to [fieldLocation], RBI","1"
"C. Phelts grounded out to [position] (count)","1"
"L. Mims, Jr. singled to [fieldLocation]","2"
"BLANC,Eric out at [base] [position] to [position]","1"
"Herschberger out on the play","1"
"BERTHIAUME struck out swinging (count)","3"
"Mitchell,D singled to [fieldLocation] (count)","4"
"Mitchell,D singled through the right side (count)","2"
"GADDIS,Nic grounded into double play [position] to [position] to [position] (count)","1"
"Missed Pop-Up to the Mound","1"
"Lopez,J to [position]","1"
"Christophr,R out at [base] [position] to [position] (count)","1"
"Berthiaume doubled down the [fieldLocation]","1"
"**bounced to wall in LF corner","1"
"Tow struck out swinging (count)","2"
"Hatton, Z. struck out swinging (count)","1"
"Garrett, B. scored","2"
"Rodriguez flied out to [position]","1"
"BLANKENBERGE flied out to [position] (count)","2"
"Initially recorded as an RBI double down RL, on appeal offials ruled","1"
"Ford pinch hit for Rodriguez","1"
"Deimeke, L. grounded out to [position] (count)","1"
"C. Maddox to [position] for M. Arnold","1"
"de los RIOS to [position]","1"
"Cox singled to [fieldLocation]","1"
"Embray lined out to [position] (count)","1"
"Game resumes after rain delay of 1:39","1"
"DelSignore scored","2"
"Boselli Iii flied out to [position] (count)","2"
"MITCHELL,Mal singled to [fieldLocation], RBI (count)","1"
"Tamez grounded out to [position] (count)","3"
"Burnett singled to [fieldLocation]","4"
"Ball fell 10-feet in front of plate between C, P, 1B and 3B","1"
"CORDOVA-SMITH,Peyton walked","4"
"Burnett scored","1"
"Pluth scored","1"
"Fleck to [position] for Stein","1"
"T. Jones to [position] for B. Herrera","1"
"de los RIOS to [position] for WALTER,Willi","1"
"MacKENZIE, Jake struck out looking","1"
"Boselli Iii walked, RBI (count)","1"
"MacKENZIE, Jake advanced to [base] on a wild pitch","1"
"MONTENEGR0 advanced to [base] on a passed ball","1"
"J. Martinez singled through the right side (count)","1"
"F. De'Jesus struck out swinging (count)","1"
"D. Morrow singled up the middle (count)","1"
"Klohen, A. fouled out to [position]","2"
"StankiewiczD reached on a throwing error by [position], advanced to [base], RBI (count)","1"
"TARANTINO,Matthew singled to [fieldLocation], RBI","1"
"T. Thomas reached on an error by [position] (count)","1"
"Binghamton HC ejected with 2 outs in bottom of the 4th","1"
"J. Castaneda advanced to [base]","2"
"5-minute delay as the mound and batter's box was attended to","1"
"R. Ranie singled to [fieldLocation], RBI (count)","1"
"Call at [fieldLocation] originally was out 6-3, but overruled after conference","1"
"D. Elliott grounded out to [position] (count)","1"
"bloop single over SS","1"
"Coleman to [position]","2"
"Klos flied out to [position] (count)","1"
"J Atkinson struck out swinging (count)","2"
"Hoogerhyde N grounded into double play [position] to [position] to [position]","1"
"GADDIS,Nic grounded out to [position] (count)","3"
"Visconti pinch hit for Torres","1"
"Mcshane doubled down the [fieldLocation]","1"
"78, 48 strikes","1"
"HR hits foul pole screen. His [base] of the season","1"
"Posviak, B. flied out to [position]","3"
"Enochs singled to [fieldLocation] (count)","1"
"VERLIN,Nate singled to [fieldLocation]","8"
"Grisanti scored, unearned","2"
"Play resumed at 11:57 a.m","1"
"Herring doubled to [fieldLocation], 2 RBI (count)","1"
"SOPER advanced to [base]","1"
"Olden,R grounded out to [position], bunt (count)","1"
"Mostly sunny, 77 degrees","1"
"/ for Schniederjan","1"
"Steve Mcshane fouled out to [position]","1"
"Ward singled up the middle, RBI","1"
"GADDIS,Nic advanced to [base] on a throwing error by [position]","1"
"GADDIS,Nic fouled out to [position] (count)","1"
"Dahlke struck out swinging","2"
"BUSICK, T stole [base]","1"
"Driscoll scored, unearned","1"
"No play","680"
"Bouley advanced to [base]","2"
"WOODALL lined out to [position]","1"
"Backhand grab deep in SS hole & toss across for out","1"
"C. Vandergro lined out to [position]","1"
"Jarvis Warne advanced to [base]","18"
"COSS singled up the middle (count)","1"
"83, 45 strikes","1"
"C. Simoneaux singled to [fieldLocation] (count)","4"
"ANDERSON,Tan struck out looking (count)","3"
"Morris pinch ran for RodriguezD","1"
"Coss walked (count)","5"
"Lopez, A. out at [base] [position] to [position] to [position] to [position], picked off","1"
"J. Walkowiak to [position] for J. Russo","1"
"Matthews struck out swinging","1"
"H. Babineaux struck out looking (count)","1"
"Abraham advanced to [base]","1"
"After agrument from SDSU coach, umps gathered and ruled ball was dropped","1"
"E. Carrion to [position] for B. Rawlinson","1"
"B. Rawlinson struck out swinging, out at [base] [position] to [position] (count)","1"
"Klomfahs, K. scored","1"
"B. Dewaine advanced to [base]","1"
"Kitchen flied out to [position] (count)","1"
"Berthiaume grounded out to [position]","1"
"[number] Valparaiso Mommersteeg original starter, did not pitch, pulled prior","1"
"Harrison walked (count)","1"
"COCCIADIFERRO, Matt grounded out to [position]","2"
"Rodriguez, M grounded out to [position] (count)","1"
"Jarvis Warne stole [base], advanced to [base] on a throwing error by [position]","1"
"Rosario walked","1"
"Ford reached on a fielder's choice","1"
"Padilla struck out looking","1"
"Winter to [position] for Bisignano","1"
"Walkowiak to [position] for King","1"
"C. Simoneaux out at [base] [position] to [position]","1"
"Jack Harris grounded out to [position]","1"
"Call Stands","1"
"McDaniel singled up the middle","1"
"Geska pinch hit for McLain","1"
"D. Elliott walked","1"
"R. Ranie scored on the throw","1"
"Leatherwood grounded out to [position]","1"
"**Comebacker to the pitcher","1"
"Leyder, J. grounded out to [position]","1"
"WEST to [position] for STRALEY","1"
"UCR head coach Troy Percival visits the mound. Pitches","2"
"Lanclos, T. grounded out to [position] (count)","1"
"Out at home under review. Ruling of safe at home confirmed","1"
"R. Ranie advanced to [base]","6"
"C. Pepper advanced to [base]","1"
"Snow delay","1"
"Lawson","1"
"Darr singled through the left side","1"
"StankiewiczD scored","6"
"Bakst,Dan scored, unearned","3"
"A. Dowdy singled to [fieldLocation] (count)","1"
"M. Rinke popped up to [position] (count)","1"
"High pop fly into short left-center field","1"
"Kolb out on the play","1"
"Nelson scored","1"
"hidden ball trick","1"
"Game now set to start at 8:30 pm","1"
"B. Corbett flied out to [position]","1"
"C Tamez grounded out to [position] unassisted (count)","1"
"Wilburn out at home [position] to [position]","1"
"bad hop on grounder to 3B","1"
"B. Rawlinson struck out swinging (count)","1"
"Play at [fieldLocation] was challenged, reviewed and upheld","1"
"Oetting,Mi flied out to [position] (count)","1"
"Oetting,Mi advanced to [base]","2"
"J. Soto singled down the [fieldLocation] (count)","1"
"StankiewiczD struck out swinging, out at [base] [position] to [position] (count)","1"
"CARLSON,Dyla to [position] for WALTER,Willi","1"
"Edwards walked","1"
"Gutierrez reached on a fielder's choice to pitcher, bunt (count)","1"
"Kelvin Gulla flied out to [position]","1"
"R. Quintanil struck out looking (count)","2"
"E. Hildebran advanced to [base]","1"
"THURBER singled down the [fieldLocation]","1"
"A. Esposito to [position]","1"
"SMITH, G. to [position] for ROBINSON, T.","3"
"First Pitch: 1:08 pm","1"
"HUNT,Perry (count) HUNT,Perry (AJ) grounded out to [position]","4"
"Hanosky doubled down the [fieldLocation]","1"
"Rouzan, S. grounded out to [position]","1"
"CARLSON,Dyla to [position] for McCOLLUM,Jer","1"
"ID-1596578","1"
"Demarais lined out to [position]","1"
"Ward grounded out to [position] unassisted","1"
"E. Crawford walked","1"
"Murray out at [base] [position] to [position]","1"
"HAMMERS,Matt reached on a fielder's choice to [fieldLocation], RBI","1"
"Heard stole [base], scored on an error by [position], unearned","1"
"de Wattevill reached on a fielder's choice (count)","1"
"93, 68 strikes","1"
"T. Baumann advanced to [base]","4"
"D. Morrow flied out to [position]","1"
"Chamberlin, Jace doubled to [fieldLocation]","1"
"LUKE, Bryce doubled to [fieldLocation], RBI","1"
"N. Freimuth advanced to [base]","2"
"Bowren","1"
"Gilbert struck out swinging","1"
"VERLIN,Nate doubled, ground-rule, RBI","1"
"J. Kochmansk struck out swinging","1"
"Przybilla advanced to [base]","2"
"M. McGough scored","1"
"Closner, O lined out to [position] (count)","2"
"Ballerini scored on a wild pitch","1"
"G. Richards struck out looking (count)","1"
"TARANTINO,Matthew singled to [fieldLocation], bunt","1"
"Caleb Barega singled, RBI","1"
"de Wattevill hit by pitch (count)","1"
"Kleszczynski walked (count)","1"
"Fuller pinch hit for Draffen","1"
"Nuss fouled out to [position] (count)","1"
"Smith homered to [fieldLocation], 2 RBI (count)","1"
"B. Dewaine struck out swinging (count)","3"
"Bray, J. struck out looking","1"
"BUTLER struck out looking","1"
"Blackburn scored","1"
"Williams' single makes Strahm's run EARNED","1"
"R. Quintanil out at [base] [position] to [position]","1"
"BREWSTER,Aus to [position] for WILBURN,Tyle","4"
"Closner, O grounded out to [position] (count)","10"
"MacKENZIE, Jake walked","1"
"SCANLON singled","2"
"Game Suspended until noon of March 4","1"
"Demaio, Joe struck out swinging","1"
"Baker grounded out to [position]","2"
"Pattin, B. flied out to [position], SAC, RBI (count)","1"
"Dowdy doubled to [fieldLocation] (count)","1"
"**terrific over the shoulder catch, drifted into foul territory","1"
"C. Simoneaux hit by pitch (count)","4"
"Carroll to [position] for Patterson","1"
"Harding struck out looking (count)","1"
"MITCHELL,Mal singled, advanced to [base] on a throwing error by [position] (count)","1"
"Stein struck out swinging","2"
"M. Rinke singled to [fieldLocation] (count)","1"
"**nice back hand flip by [position]","1"
"C. Charman flied out to [position] (count)","1"
"C. Collazo flied out to [position] (count)","1"
"Hansen, E walked, advanced to [base]","1"
"Play at [fieldLocation] was reviewed. Call stands","1"
"Quinlan,Maso grounded out to [position]","1"
"Jarvis Warne out at [base] [position] to [position]","4"
"G. Richards reached on a fielder's choice (count)","1"
"P. Jones singled to [fieldLocation], RBI","1"
"Berthiaume flied out to [position] down the [position] line (count)","1"
"Grupa, N. out at [base] [position] to [position], picked off","1"
"PC [number] ejected in the top of the seventh inning","1"
"Cardenas, D. flied out to [position] (count)","2"
"Stoughtenger advanced to [base]","1"
"Dowdy grounded out to [position] (count)","1"
"Kitchen walked (count)","1"
"Heard walked","3"
"Deimeke, L. reached on an error by [position] (count)","1"
"A. Rivera stole [base]","1"
"Kleszczynski struck out swinging (count)","1"
"Nychyk,T lined out to [position] (count)","1"
"Nelson to [position] for Blonski","1"
"L. Santiago grounded out to [position] unassisted","1"
"M. Cadman grounded out to [position] (count)","1"
"Runner called out for rounding [base] and not touching on way back to [base]","1"
"brecht slips while trying to make throw","1"
"Howard, A. flied out to [position] (count)","2"
"J. Angelopul to [position]","1"
"Boselli Iii out at [base] [position] to [position], picked off","1"
"C. Owens pinch hit for B. Schack","1"
"Hearn. H. singled to [fieldLocation], 2 RBI (count)","1"
"Stewart grounded out to [position]","1"
"R. Bayle to [position] for J. Woodyard","1"
"LUKE, Bryce hit into double play [position] to [position]","1"
"LOPEZ,Bradly flied out to [position]","2"
"Ke. Sullivan advanced to [base]","2"
"Bakst,Dan grounded out to [position] (count)","9"
"J. Lewis to [position]","1"
"Norman pinch hit for Draffen","1"
"Barker pinch hit for Corbett","1"
"SCHREIER, J to [position] for SELL, J","1"
"J. Martinez advanced to [base] on a passed ball","1"
"Perkins,T to [position] for Harvey,J","1"
"Biagini,D advanced to [base]","1"
"41, 27 strks","1"
"T. Gutirrez singled to [fieldLocation] (count)","1"
"Medina struck out swinging (count)","1"
"Sharply hit ground ball off the glove of a diving 3B DiCarlo. Base hit","1"
"Garcia, D. doubled down the [fieldLocation]","1"
"Giss advanced to [base]","2"
"Achecar, F. reached on a fielder's choice (count)","1"
"LUKE, Bryce lined out to [position]","1"
"BLANKENBERGE grounded out to [position]","4"
"**bounced off [fieldLocation] wall","1"
